ean,product,lines_count,product_norm,prod_tokens,match_item,match_category,score,is_food_corner_auto
54208824234.0,Spaghetti bolognese Szamam 400g,1,spaghetti bolognese szamam 400g,"['spaghetti', 'bolognese', 'szamam', '400g']",,,0.4838709677419355,False
5901549989144.0,EAT ME!  Kotlet mielony z pureee i buraczkami 0.4 kg (400g),1,eat me kotlet mielony z pureee i buraczkami 0 4 kg 400g,"['eat', 'me', 'kotlet', 'mielony', 'pureee', 'buraczkami', '0', '4', '400g']",,,0.46341463414634143,False
5904170025335.0,Drosed Nuggetsy z piersi kurczaka łagodne 250 g,1,drosed nuggetsy z piersi kurczaka agodne 250 g,"['drosed', 'nuggetsy', 'piersi', 'kurczaka', 'agodne', '250']",,,0.4338461538461539,False
5902991111893.0,ZAPIEKANKA Z KURCZAKIEM 220g -MROZONE - GREEN FOX,1,zapiekanka z kurczakiem 220g -mrozone - green fox,"['zapiekanka', 'kurczakiem', '220g', '-mrozone', '-', 'green', 'fox']",,,0.42999999999999994,False
20040574.0,bułka hot dog,1,bu ka hot dog,"['bu', 'ka', 'hot', 'dog']",,,0.41500000000000004,False
8586020100064.0,Kanapka Cezar – Tomcio Paluch 205g,3,kanapka cezar tomcio paluch 205g,"['kanapka', 'cezar', 'tomcio', 'paluch', '205g']",,,0.41428571428571426,False
5903242320637.0,EAT ME! Kotlet drobiowy z puree i marchewką z groszkiem 400 g 5903242320637,1,eat me kotlet drobiowy z puree i marchewka z groszkiem 400 g 5903242320637,"['eat', 'me', 'kotlet', 'drobiowy', 'puree', 'marchewka', 'groszkiem', '400', '5903242320637']",,,0.4138613861386139,False
5908256845305.0,PANINI Z KURCZAKIEM 205g -MROZONE - GREEN FOX,3,panini z kurczakiem 205g -mrozone - green fox,"['panini', 'kurczakiem', '205g', '-mrozone', '-', 'green', 'fox']",,,0.4089285714285714,False
20040475.0,bagietka z masłem czosnkowym,2,bagietka z mas em czosnkowym,"['bagietka', 'mas', 'em', 'czosnkowym']",,,0.3771428571428571,False
5902921301448.0,KARMA DLA PSA RAFI Z WOŁOWINĄ 400G,1,karma dla psa rafi z wo owina 400g,"['karma', 'dla', 'psa', 'rafi', 'wo', 'owina', '400g']",,,0.358,False
4056489216223.0,Serek High Protein Malina Milbona 200g,1,serek high protein malina milbona 200g,"['serek', 'high', 'protein', 'malina', 'milbona', '200g']",,,0.3492063492063492,False
5906712831848.0,Sokołów Parówki z szynki 200 g ,2,soko ow parowki z szynki 200 g,"['soko', 'ow', 'parowki', 'szynki', '200']",,,0.3464285714285715,False
5908230536113.0,Tarczyński Kiełbasa krakowska 320 g ,2,tarczynski kie basa krakowska 320 g,"['tarczynski', 'kie', 'basa', 'krakowska', '320']",,,0.34509803921568627,False
10675526.0,Salato Sałatka jarzynowa Lisner 250 g.,1,salato sa atka jarzynowa lisner 250 g,"['salato', 'sa', 'atka', 'jarzynowa', 'lisner', '250']",,,0.3404761904761905,False
5900259127600.0,Lay's Chipsy ziemniaczane solone 130 g,6,lay s chipsy ziemniaczane solone 130 g,"['lay', 'chipsy', 'ziemniaczane', 'solone', '130']",,,0.3385964912280702,False
2401966000000.0,BAGIETKA 250 g 2401966000000,3,bagietka 250 g 2401966000000,"['bagietka', '250', '2401966000000']",,,0.336046511627907,False
5908230516832.0,Tarczyński Kiełbasa śląska 310 g,2,tarczynski kie basa slaska 310 g,"['tarczynski', 'kie', 'basa', 'slaska', '310']",,,0.3302564102564103,False
5902899142241.0,Hochland Ser kremowy ze śmietanką 90 g,1,hochland ser kremowy ze smietanka 90 g,"['hochland', 'ser', 'kremowy', 'smietanka', '90']",,,0.3281385281385281,False
5908308902826.0,Wołowiner Żabka,2,wo owiner zabka,"['wo', 'owiner', 'zabka']",,,0.3264516129032258,False
5902020746188.0,Kotlet schabowy Naturalnie smaczne,1,kotlet schabowy naturalnie smaczne,"['kotlet', 'schabowy', 'naturalnie', 'smaczne']",,,0.32295081967213113,False
5908230535994.0,Tarczyński Protein Kabanosy z kurczaka 80 g ,1,tarczynski protein kabanosy z kurczaka 80 g,"['tarczynski', 'protein', 'kabanosy', 'kurczaka', '80']",,,0.32295081967213113,False
5905669019552.0,Fresh Line - Lunch Box Grecki 200g,1,fresh line - lunch box grecki 200g,"['fresh', 'line', '-', 'lunch', 'box', 'grecki', '200g']",,,0.3198979591836735,False
8576029104101.0,Kanapka trojkont jajko bekon Tomcio Paluch 200g,2,kanapka trojkont jajko bekon tomcio paluch 200g,"['kanapka', 'trojkont', 'jajko', 'bekon', 'tomcio', 'paluch', '200g']",,,0.3171171171171171,False
5900344016550.0,Salato Sałatka jarzynowa 250 g,1,salato sa atka jarzynowa 250 g,"['salato', 'sa', 'atka', 'jarzynowa', '250']",,,0.3142857142857143,False
5907778534841.0,GRZEŚKOWIAK Pierogi ruskie ze smażoną cebulką 320 g 5907778534841,1,grzeskowiak pierogi ruskie ze smazona cebulka 320 g 5907778534841,"['grzeskowiak', 'pierogi', 'ruskie', 'smazona', 'cebulka', '320', '5907778534841']",,,0.3132007233273056,False
5907701807875.0,JBB Bałdyga Kiełbasa bez osłonki 330 g ,1,jbb ba dyga kie basa bez os onki 330 g,"['jbb', 'ba', 'dyga', 'kie', 'basa', 'bez', 'os', 'onki', '330']",,,0.3092436974789916,False
8586020103768.0,"Kanapka z pastą jajeczną, jajkiem, sosem pieprzowym i porem Tomcio Paluch 200g",3,kanapka z pasta jajeczna jajkiem sosem pieprzowym i porem tomcio paluch 200g,"['kanapka', 'pasta', 'jajeczna', 'jajkiem', 'sosem', 'pieprzowym', 'porem', 'tomcio', 'paluch', '200g']",,,0.30726887791107976,False
8586020103478.0,Kanapka Trojkat Tomcio Paluch 210g,3,kanapka trojkat tomcio paluch 210g,"['kanapka', 'trojkat', 'tomcio', 'paluch', '210g']",,,0.3038961038961039,False
5900567001746.0,Berlinki Classic Kiełbasa 250 g,4,berlinki classic kie basa 250 g,"['berlinki', 'classic', 'kie', 'basa', '250']",,,0.3010752688172043,False
5900488343727.0,Szybki Lopez - Burrito z kurczakiem  280g,1,szybki lopez - burrito z kurczakiem 280g,"['szybki', 'lopez', '-', 'burrito', 'kurczakiem', '280g']",,,0.2965384615384616,False
8586020103553.0,Trójkąt szynka Tomcio paluch,4,trojkat szynka tomcio paluch,"['trojkat', 'szynka', 'tomcio', 'paluch']",,,0.29591836734693877,False
5900259130822.0,Lay's Chipsy ziemniaczane o smaku BBQ 130 g ,2,lay s chipsy ziemniaczane o smaku bbq 130 g,"['lay', 'chipsy', 'ziemniaczane', 'o', 'smaku', 'bbq', '130']",,,0.29435483870967744,False
14141997.0,Sałatka Cezar z pieczonym kurczakiem dobra karma 190g,5,sa atka cezar z pieczonym kurczakiem dobra karma 190g,"['sa', 'atka', 'cezar', 'pieczonym', 'kurczakiem', 'dobra', 'karma', '190g']",,,0.29215189873417724,False
2050000642852.0,Kebab rollo 280g,2,kebab rollo 280g,"['kebab', 'rollo', '280g']",,,0.2911764705882353,False
5901126012982.0,Lactima Ser topiony z szynką 100 g,1,lactima ser topiony z szynka 100 g,"['lactima', 'ser', 'topiony', 'szynka', '100']",,,0.28823529411764703,False
5905187104372.0,Chipsletten Chipsy ziemniaczane papryka 100 g,2,chipsletten chipsy ziemniaczane papryka 100 g,"['chipsletten', 'chipsy', 'ziemniaczane', 'papryka', '100']",,,0.2875,False
5900783003968.0,Pudliszki Koncentrat pomidorowy 90 g,1,pudliszki koncentrat pomidorowy 90 g,"['pudliszki', 'koncentrat', 'pomidorowy', '90']",,,0.2875,False
5907778535169.0,Chłodnik z buraczkami Grześkowiak 250g,2,ch odnik z buraczkami grzeskowiak 250g,"['ch', 'odnik', 'buraczkami', 'grzeskowiak', '250g']",,,0.28263736263736267,False
5900259133311.0,Lay's Chipsy ziemniaczane o smaku papryki 130 g,5,lay s chipsy ziemniaczane o smaku papryki 130 g,"['lay', 'chipsy', 'ziemniaczane', 'o', 'smaku', 'papryki', '130']",,,0.28106060606060607,False
5901784165839.0,Berlinki Classic Kabanosy Kiełbasa 85 g,1,berlinki classic kabanosy kie basa 85 g,"['berlinki', 'classic', 'kabanosy', 'kie', 'basa', '85']",,,0.28,False
5905187000186.0,Monster Munch Original Chrupki ziemniaczane 20 g,1,monster munch original chrupki ziemniaczane 20 g,"['monster', 'munch', 'original', 'chrupki', 'ziemniaczane', '20']",,,0.2767590618336887,False
5900567012339.0,Krakus Parówki z szynki wieprzowe 200 g,2,krakus parowki z szynki wieprzowe 200 g,"['krakus', 'parowki', 'szynki', 'wieprzowe', '200']",,,0.27192307692307693,False
5900344018387.0,Lisner Pastella Pasta jajeczna z chrzanem i rzeżuchą 80 g ,2,lisner pastella pasta jajeczna z chrzanem i rzezucha 80 g,"['lisner', 'pastella', 'pasta', 'jajeczna', 'chrzanem', 'rzezucha', '80']",,,0.2690909090909091,False
5900741604879.0,Come a Casa Lasagne Bolognese 400 g,1,come a casa lasagne bolognese 400 g,"['come', 'casa', 'lasagne', 'bolognese', '400']",,,0.268939393939394,False
5900085010091.0,Winiary Barszcz biały 66 g,2,winiary barszcz bia y 66 g,"['winiary', 'barszcz', 'bia', 'y', '66']",,,0.2674418604651163,False
5902738903446.0,dega Sałatka jarzynowa a'la domowa 250 g,1,dega sa atka jarzynowa a la domowa 250 g,"['dega', 'sa', 'atka', 'jarzynowa', 'la', 'domowa', '250']",,,0.26666666666666666,False
5900437005133.0,Dr. Oetker Guseppe Pizza z szynką i pieczarkami 425 g,1,dr oetker guseppe pizza z szynka i pieczarkami 425 g,"['dr', 'oetker', 'guseppe', 'pizza', 'szynka', 'pieczarkami', '425']",,,0.26666666666666666,False
5905187114692.0,Crunchips X-Cut Chipsy ziemniaczane solony 140 g,5,crunchips x-cut chipsy ziemniaczane solony 140 g,"['crunchips', 'x-cut', 'chipsy', 'ziemniaczane', 'solony', '140']",,,0.264818763326226,False
5900541000376.0,Żywiec Zdrój z Nutą. Napój niegazowany o smaku truskawkowym. 1500ml,1,zywiec zdroj z nuta napoj niegazowany o smaku truskawkowym 1500ml,"['zywiec', 'zdroj', 'nuta', 'napoj', 'niegazowany', 'o', 'smaku', 'truskawkowym', '1500ml']",,,0.2629762760603882,False
5907799011222.0,Chiken nuggets,2,chiken nuggets,"['chiken', 'nuggets']",,,0.26,False
5900196007157.0,Drobimex - Pierś kurczaka pieczona w plastrach 100g,1,drobimex - piers kurczaka pieczona w plastrach 100g,"['drobimex', '-', 'piers', 'kurczaka', 'pieczona', 'plastrach', '100g']",,,0.26,False
5902596076238.0,Vega Up Pasztet wegański z pieczonymi warzywami 190 g,1,vega up pasztet weganski z pieczonymi warzywami 190 g,"['vega', 'up', 'pasztet', 'weganski', 'pieczonymi', 'warzywami', '190']",,,0.2549019607843137,False
528454166382.0,Bsgietka kebab Tomcio Paluch 215g,3,bsgietka kebab tomcio paluch 215g,"['bsgietka', 'kebab', 'tomcio', 'paluch', '215g']",,,0.2531914893617021,False
5904075001144.0,Agrico Premium Pasztet drobiowy firmowy 130 g ,1,agrico premium pasztet drobiowy firmowy 130 g,"['agrico', 'premium', 'pasztet', 'drobiowy', 'firmowy', '130']",,,0.25277777777777777,False
8710449955565.0,Aviko - Jalapeno przekąska serowa z papryczką 300g,1,aviko - jalapeno przekaska serowa z papryczka 300g,"['aviko', '-', 'jalapeno', 'przekaska', 'serowa', 'papryczka', '300g']",,,0.2512820512820513,False
5905187109025.0,Wiejskie Ziemniaczki Chipsy ziemniaczane cebulka 130 g,1,wiejskie ziemniaczki chipsy ziemniaczane cebulka 130 g,"['wiejskie', 'ziemniaczki', 'chipsy', 'ziemniaczane', 'cebulka', '130']",,,0.2500978473581213,False
5908230511141.0,Tarczyński Parówki premium z szynki 220 g (2 x 110 g),3,tarczynski parowki premium z szynki 220 g 2 x 110 g,"['tarczynski', 'parowki', 'premium', 'szynki', '220', '2', 'x', '110']",,,0.24764705882352941,False
2000001801260.0,Dooti Donuts - Donut z nadzieniem truskawkowym  70g,1,dooti donuts - donut z nadzieniem truskawkowym 70g,"['dooti', 'donuts', '-', 'donut', 'nadzieniem', 'truskawkowym', '70g']",,,0.2458498023715415,False
5900259087430.0,Star Chrupki o smaku pomidor z serem 125 g,1,star chrupki o smaku pomidor z serem 125 g,"['star', 'chrupki', 'o', 'smaku', 'pomidor', 'serem', '125']",,,0.24444444444444446,False
5900567021980.0,Krakus Szynka eksportowa wieprzowa 100 g,1,krakus szynka eksportowa wieprzowa 100 g,"['krakus', 'szynka', 'eksportowa', 'wieprzowa', '100']",,,0.2430913348946136,False
80824107.0,Kinder Jajko Creamy Milky Crunchy 19g,1,kinder jajko creamy milky crunchy 19g,"['kinder', 'jajko', 'creamy', 'milky', 'crunchy', '19g']",,,0.2416666666666667,False
8001665708074.0,Rana Gnocchi nadziewane szpinakiem i serem mozzarella 280 g ,1,rana gnocchi nadziewane szpinakiem i serem mozzarella 280 g,"['rana', 'gnocchi', 'nadziewane', 'szpinakiem', 'serem', 'mozzarella', '280']",,,0.2370253164556962,False
8426617001445.0,Haribo Balla Stixx Żelki o smaku malinowym 80 g ,2,haribo balla stixx zelki o smaku malinowym 80 g,"['haribo', 'balla', 'stixx', 'zelki', 'o', 'smaku', 'malinowym', '80']",,,0.23534246575342466,False
5905187104419.0,Chipsletten Chipsy ziemniaczane fromage ze szczypiorkiem 100 g,1,chipsletten chipsy ziemniaczane fromage ze szczypiorkiem 100 g,"['chipsletten', 'chipsy', 'ziemniaczane', 'fromage', 'szczypiorkiem', '100']",,,0.23386243386243383,False
5900512110592.0,MLEKOVITA  Ser Salami w plastrach 0.15 kg (150g),1,mlekovita ser salami w plastrach 0 15 kg 150g,"['mlekovita', 'ser', 'salami', 'plastrach', '0', '15', '150g']",,,0.23333333333333334,False
2906748000000.0,MIĘSO Z UDA KURCZAKA bez kości i skóry 1 szt. 2906748000000,1,mieso z uda kurczaka bez kosci i skory 1 szt 2906748000000,"['mieso', 'uda', 'kurczaka', 'bez', 'kosci', 'skory', '1', '2906748000000']",,,0.2332688588007737,False
5900567017181.0,Krakus Kiełbasa krakowska sucha z szynki 80 g (2 x 40 g),1,krakus kie basa krakowska sucha z szynki 80 g 2 x 40 g,"['krakus', 'kie', 'basa', 'krakowska', 'sucha', 'szynki', '80', '2', 'x', '40']",,,0.23284072249589488,False
4085800005130.0,Müller Müllermilch Protein Napój mleczny 400 g,3,muller mullermilch protein napoj mleczny 400 g,"['muller', 'mullermilch', 'protein', 'napoj', 'mleczny', '400']",,,0.23274647887323946,False
5900398003926.0,"WÓDKA EXTRA ŻYTNIA 0,100L 40%",1,wodka extra zytnia 0 100l 40,"['wodka', 'extra', 'zytnia', '0', '100l', '40']",,,0.23186274509803922,False
8992741906937.0,Gummi Zone Candy Pizza 21 g,1,gummi zone candy pizza 21 g,"['gummi', 'zone', 'candy', 'pizza', '21']",,,0.23023255813953492,False
5410228309079.0,"PIWO CORONA EXTRA 0,33L BUT.BZW.",2,piwo corona extra 0 33l but bzw,"['piwo', 'corona', 'extra', '0', '33l', 'but', 'bzw']",,,0.22962962962962963,False
20030018.0,reklamówka,21,reklamowka,['reklamowka'],,,0.22857142857142856,False
8711200470563.0,Knorr Sos sałatkowy balsamiczny z ziołami 11 g,1,knorr sos sa atkowy balsamiczny z zio ami 11 g,"['knorr', 'sa', 'atkowy', 'balsamiczny', 'zio', 'ami', '11']",,,0.22666666666666668,False
8000430680256.0,GALBANI  Szynka prosciutto crudo 0.07 kg (70g),1,galbani szynka prosciutto crudo 0 07 kg 70g,"['galbani', 'szynka', 'prosciutto', 'crudo', '0', '07', '70g']",,,0.22666666666666668,False
20040291.0,bułka z ziarnami,3,bu ka z ziarnami,"['bu', 'ka', 'ziarnami']",,,0.225,False
5900196004026.0,DROBIMEX Szynka delikatesowa z kurcząt 100g,1,drobimex szynka delikatesowa z kurczat 100g,"['drobimex', 'szynka', 'delikatesowa', 'kurczat', '100g']",,,0.2232142857142857,False
8410762861160.0,"Donatello Pizza Capriciosa (szynka, pieczarki i ser Mozzarella) 400g",2,donatello pizza capriciosa szynka pieczarki i ser mozzarella 400g,"['donatello', 'pizza', 'capriciosa', 'szynka', 'pieczarki', 'ser', 'mozzarella', '400g']",,,0.22276422764227644,False
5998749145173.0,Pedigree Junior Sucha karma dla szczeniąt z drobiem i warzywami 500 g ,1,pedigree junior sucha karma dla szczeniat z drobiem i warzywami 500 g,"['pedigree', 'junior', 'sucha', 'karma', 'dla', 'szczeniat', 'drobiem', 'warzywami', '500']",,,0.22088208820882088,False
5901882111301.0,Vifon Zupa błyskawiczna o smaku kurczaka złoty 60 g,3,vifon zupa b yskawiczna o smaku kurczaka z oty 60 g,"['vifon', 'b', 'yskawiczna', 'o', 'smaku', 'kurczaka', 'oty', '60']",,,0.22006269592476488,False
5902121022501.0,Rożek śmietankowy z wiśniami i sosem wiśniowym Bracia Koral 110g,2,rozek smietankowy z wisniami i sosem wisniowym bracia koral 110g,"['rozek', 'smietankowy', 'wisniami', 'sosem', 'wisniowym', 'bracia', 'koral', '110g']",,,0.22000000000000003,False
5903936013159.0,Anna Zaradna Picnic & Party Tacki do grilla 3 sztuki ,1,anna zaradna picnic party tacki do grilla 3 sztuki,"['anna', 'zaradna', 'picnic', 'party', 'tacki', 'grilla', '3']",,,0.2192622950819672,False
5901750990014.0,Goldmak Makaron krajanka jajeczna Szefa 250 g ,1,goldmak makaron krajanka jajeczna szefa 250 g,"['goldmak', 'makaron', 'krajanka', 'jajeczna', 'szefa', '250']",,,0.21864801864801864,False
5900259096746.0,LAYS KARBOWANE,2,lays karbowane,"['lays', 'karbowane']",,,0.21818181818181817,False
59094388.0,Danio Serek z kawałkami czekolady 120 g,1,danio serek z kawa kami czekolady 120 g,"['danio', 'serek', 'kawa', 'kami', 'czekolady', '120']",,,0.21789473684210528,False
40084725.0,Kinder Mleczna Kanapka Biszkopt z mlecznym nadzieniem 28 g,2,kinder mleczna kanapka biszkopt z mlecznym nadzieniem 28 g,"['kinder', 'mleczna', 'kanapka', 'biszkopt', 'mlecznym', 'nadzieniem', '28']",,,0.21703296703296704,False
5900259128652.0,Lay's Oven Baked Pieczone formowane chipsy ziemniaczane solone 110 g,1,lay s oven baked pieczone formowane chipsy ziemniaczane solone 110 g,"['lay', 'oven', 'baked', 'pieczone', 'formowane', 'chipsy', 'ziemniaczane', 'solone', '110']",,,0.2163218390804598,False
5900820022099.0,Łaciata Śmietanka pasteryzowana 30 % 200 ml,1,aciata smietanka pasteryzowana 30 200 ml,"['aciata', 'smietanka', 'pasteryzowana', '30', '200']",,,0.21512605042016808,False
5902659891716.0,"Morliny Food Service Parówki do hot doga 0,700 kg ",1,morliny food service parowki do hot doga 0 700 kg,"['morliny', 'food', 'service', 'parowki', 'hot', 'doga', '0', '700']",,,0.21454545454545457,False
20040239.0,bułka poznańska,1,bu ka poznanska,"['bu', 'ka', 'poznanska']",,,0.21333333333333335,False
5900567018232.0,Salami ostródzkie dojrzewające Morliny 50g,2,salami ostrodzkie dojrzewajace morliny 50g,"['salami', 'ostrodzkie', 'dojrzewajace', 'morliny', '50g']",,,0.21325051759834368,False
5903621191650.0,Papierosy L&M BLUE,8,papierosy l m blue,"['papierosy', 'm', 'blue']",,,0.21176470588235297,False
5900820000257.0,Łaciate Masło ekstra 200 g,2,aciate mas o ekstra 200 g,"['aciate', 'mas', 'o', 'ekstra', '200']",,,0.20995024875621893,False
5901359194714.0,Lech Piwo z napojem o smaku jabłka i trawy cytrynowej 500 ml ,3,lech piwo z napojem o smaku jab ka i trawy cytrynowej 500 ml,"['lech', 'piwo', 'napojem', 'o', 'smaku', 'jab', 'ka', 'trawy', 'cytrynowej', '500']",,,0.20780559646539026,False
5908221106851.0,Popcorn solony 60 g ,2,popcorn solony 60 g,"['popcorn', 'solony', '60']",,,0.2074074074074074,False
5901384502768.0,OYAKATA Danie instant z sosem w stylu japoński kurczak teriyaki 96 g,1,oyakata danie instant z sosem w stylu japonski kurczak teriyaki 96 g,"['oyakata', 'danie', 'instant', 'sosem', 'stylu', 'japonski', 'kurczak', 'teriyaki', '96']",,,0.20735444330949948,False
20000110.0,ziemniak luz,1,ziemniak luz,"['ziemniak', 'luz']",,,0.2064516129032258,False
59072393.0,Papierosy WINSTON RED,5,papierosy winston red,"['papierosy', 'winston', 'red']",,,0.2057142857142857,False
5900562260759.0,Sokołów - Roladki wołowe wolno gotowane 400gram,2,soko ow - roladki wo owe wolno gotowane 400gram,"['soko', 'ow', '-', 'roladki', 'wo', 'owe', 'wolno', 'gotowane', '400gram']",,,0.20522388059701493,False
5903621191223.0,Papierosy L&M FIRST CUT,16,papierosy l m first cut,"['papierosy', 'm', 'first', 'cut']",,,0.20512820512820512,False
5903621162124.0,Papierosy L&M LINK BLUE,2,papierosy l m link blue,"['papierosy', 'm', 'link', 'blue']",,,0.20512820512820512,False
5903621011231.0,Papierosy L&M FIRST CUT RED,11,papierosy l m first cut red,"['papierosy', 'm', 'first', 'cut', 'red']",,,0.2046511627906977,False
5906747308964.0,Petitki z mleczna czekolada,1,petitki z mleczna czekolada,"['petitki', 'mleczna', 'czekolada']",,,0.20425531914893616,False
20030070.0,Tele tydzień  (czasopismo),1,tele tydzien czasopismo,"['tele', 'tydzien', 'czasopismo']",,,0.20425531914893616,False
5901067471015.0,KUBUŚ Play! Napój marchewka czereśnia jabłko limetka,1,kubus play napoj marchewka czeresnia jab ko limetka,"['kubus', 'play', 'napoj', 'marchewka', 'czeresnia', 'jab', 'ko', 'limetka']",,,0.2035897435897436,False
5902573004322.0,"WÓDKA CZYSTA DE LUXE 0,100L 40%",1,wodka czysta de luxe 0 100l 40,"['wodka', 'czysta', 'de', 'luxe', '0', '100l', '40']",,,0.20285714285714287,False
5902573004254.0,"WÓDKA CZYSTA DE LUXE 0,200L 40%",1,wodka czysta de luxe 0 200l 40,"['wodka', 'czysta', 'de', 'luxe', '0', '200l', '40']",,,0.20285714285714287,False
6408432000614.0,Valio Profeel Pudding wysokobiałkowy o smaku czekoladowym i truskawkowym 180 g ,1,valio profeel pudding wysokobia kowy o smaku czekoladowym i truskawkowym 180 g,"['valio', 'profeel', 'pudding', 'wysokobia', 'kowy', 'o', 'smaku', 'czekoladowym', 'truskawkowym', '180']",,,0.20285714285714287,False
40084794.0,Kinder Mleczna Kanapka Biszkopt z mlecznym nadzieniem 5 x 28 g,1,kinder mleczna kanapka biszkopt z mlecznym nadzieniem 5 x 28 g,"['kinder', 'mleczna', 'kanapka', 'biszkopt', 'mlecznym', 'nadzieniem', '5', 'x', '28']",,,0.20285714285714287,False
5900541000383.0,Żywiec Zdrój z Nutą. Napój niegazowany o smaku truskawki 500ml,3,zywiec zdroj z nuta napoj niegazowany o smaku truskawki 500ml,"['zywiec', 'zdroj', 'nuta', 'napoj', 'niegazowany', 'o', 'smaku', 'truskawki', '500ml']",,,0.20194174757281555,False
5902020746218.0,NATURALNIE SMACZNE Kurczak z makaronem po chińsku 400 g 5902020746218,2,naturalnie smaczne kurczak z makaronem po chinsku 400 g 5902020746218,"['naturalnie', 'smaczne', 'kurczak', 'makaronem', 'po', 'chinsku', '400', '5902020746218']",,,0.20117647058823532,False
5900437005171.0,Dr. Oetker Guseppe Pizza 4 sery 335 g,1,dr oetker guseppe pizza 4 sery 335 g,"['dr', 'oetker', 'guseppe', 'pizza', '4', 'sery', '335']",,,0.20049019607843138,False
5901384510466.0,Oyakata Chicken Yakitori Danie instant z sosem i makaronem o smaku grilowanego kurczaka yakitori 93 ,1,oyakata chicken yakitori danie instant z sosem i makaronem o smaku grilowanego kurczaka yakitori 93,"['oyakata', 'chicken', 'yakitori', 'danie', 'instant', 'sosem', 'makaronem', 'o', 'smaku', 'grilowanego', 'kurczaka', 'yakitori', '93']",,,0.20043290043290043,False
59072317.0,Papierosy LD BLUE,2,papierosy ld blue,"['papierosy', 'ld', 'blue']",,,0.2,False
5900049006375.0,Lubella Makaron pióra 400 g,2,lubella makaron piora 400 g,"['lubella', 'makaron', 'piora', '400']",,,0.2,False
7613036970990.0,NesVita Owsianka malinowa 45 g,1,nesvita owsianka malinowa 45 g,"['nesvita', 'owsianka', 'malinowa', '45']",,,0.2,False
59063858.0,Papierosy ROTHMANS RED,1,papierosy rothmans red,"['papierosy', 'rothmans', 'red']",,,0.2,False
5901126000903.0,"Lactima Ser topiony w plasterkach z szynką 130 g (8 x 16,25 g)",1,lactima ser topiony w plasterkach z szynka 130 g 8 x 16 25 g,"['lactima', 'ser', 'topiony', 'plasterkach', 'szynka', '130', '8', 'x', '16', '25']",,,0.2,False
5900259135858.0,Lay's Chipsy ziemniaczane o smaku chutney z mango i czerwonego chilli 130 g ,1,lay s chipsy ziemniaczane o smaku chutney z mango i czerwonego chilli 130 g,"['lay', 'chipsy', 'ziemniaczane', 'o', 'smaku', 'chutney', 'mango', 'czerwonego', 'chilli', '130']",,,0.19922630560928434,False
20040871.0,ciastko truskawkowe,9,ciastko truskawkowe,"['ciastko', 'truskawkowe']",,,0.19672131147540983,False
5901939006024.0,koktajl białkowy Piątnica 256g,1,koktajl bia kowy piatnica 256g,"['koktajl', 'bia', 'kowy', 'piatnica', '256g']",,,0.19649122807017544,False
5900571100909.0,Felix Orzeszki długo prażone extra chrupkie z solą 140 g,1,felix orzeszki d ugo prazone extra chrupkie z sola 140 g,"['felix', 'orzeszki', 'd', 'ugo', 'prazone', 'extra', 'chrupkie', 'sola', '140']",,,0.19631760644418872,False
